rank,layer,neuron_idx,length_score,syco_score,universality_score,same_direction
1,6,3450,0.0000,0.0000,0.0141,yes
2,6,1459,0.0000,0.0000,0.0103,yes
3,6,1398,0.0000,0.0000,0.0101,yes
4,6,3526,0.0000,0.0000,0.0080,yes
5,6,3843,0.0000,0.0000,0.0077,yes
6,6,35,0.0000,0.0000,0.0077,yes
7,6,3790,0.0000,0.0000,0.0076,yes
8,6,2103,0.0000,0.0000,0.0074,yes
9,6,3882,0.0000,0.0000,0.0073,yes
10,6,514,0.0000,0.0000,0.0070,yes
11,6,1521,0.0000,0.0000,0.0054,yes
12,6,221,0.0000,0.0000,0.0051,yes
13,6,2050,0.0000,0.0000,0.0050,yes
14,6,4004,0.0000,0.0000,0.0042,yes
15,6,2606,0.0000,0.0000,0.0039,yes
16,6,1238,0.0000,0.0000,0.0037,yes
17,6,11,0.0000,0.0000,0.0036,yes
18,6,890,0.0000,0.0000,0.0035,yes
19,6,3998,0.0000,0.0000,0.0034,yes
20,6,1548,0.0000,0.0000,0.0033,yes
21,6,3563,0.0000,0.0000,0.0032,yes
22,6,1268,0.0000,0.0000,0.0031,yes
23,6,4042,0.0000,0.0000,0.0031,yes
24,6,2560,0.0000,0.0000,0.0030,yes
25,6,3503,0.0000,0.0000,0.0029,yes
26,6,3408,0.0000,0.0000,0.0027,yes
27,6,2563,0.0000,0.0000,0.0026,yes
28,6,2940,0.0000,0.0000,0.0026,yes
29,6,2415,0.0000,0.0000,0.0025,yes
30,6,65,0.0000,0.0000,0.0023,yes
31,6,1073,0.0000,0.0000,0.0023,yes
32,6,826,0.0000,0.0000,0.0022,yes
33,6,2164,0.0000,0.0000,0.0022,yes
34,6,1572,0.0000,0.0000,0.0021,yes
35,6,1630,0.0000,0.0000,0.0020,yes
36,6,630,0.0000,0.0000,0.0020,yes
37,6,3783,0.0000,0.0000,0.0020,yes
38,6,3275,0.0000,0.0000,0.0019,yes
39,6,3685,0.0000,0.0000,0.0019,yes
40,6,181,0.0000,0.0000,0.0019,yes
41,6,3757,0.0000,0.0000,0.0019,yes
42,6,333,0.0000,0.0000,0.0018,yes
43,6,2360,0.0000,0.0000,0.0018,yes
44,6,1851,0.0000,0.0000,0.0018,yes
45,6,2680,0.0000,0.0000,0.0018,yes
46,6,3448,0.0000,0.0000,0.0018,yes
47,6,2096,0.0000,0.0000,0.0018,yes
48,6,3922,0.0000,0.0000,0.0018,yes
49,6,3085,0.0000,0.0000,0.0017,yes
50,6,3022,0.0000,0.0000,0.0017,yes
51,6,110,0.0000,0.0000,0.0017,yes
52,6,2068,0.0000,0.0000,0.0016,yes
53,6,4057,0.0000,0.0000,0.0016,yes
54,6,2031,0.0000,0.0000,0.0016,yes
55,6,1217,0.0000,0.0000,0.0016,yes
56,6,1262,0.0000,0.0000,0.0016,yes
57,6,976,0.0000,0.0000,0.0016,yes
58,6,1818,0.0000,0.0000,0.0015,yes
59,6,1607,0.0000,0.0000,0.0014,yes
60,6,766,0.0000,0.0000,0.0014,yes
61,6,1855,0.0000,0.0000,0.0014,yes
62,6,1562,0.0000,0.0000,0.0014,yes
63,6,2597,0.0000,0.0000,0.0014,yes
64,6,2666,0.0000,0.0000,0.0014,yes
65,6,295,0.0000,0.0000,0.0014,yes
66,6,1823,0.0000,0.0000,0.0014,yes
67,6,2724,0.0000,0.0000,0.0013,yes
68,6,3733,0.0000,0.0000,0.0013,yes
69,6,2947,0.0000,0.0000,0.0013,yes
70,6,107,0.0000,0.0000,0.0013,yes
71,6,2180,0.0000,0.0000,0.0013,yes
72,6,3741,0.0000,0.0000,0.0013,yes
73,6,1614,0.0000,0.0000,0.0013,yes
74,6,2495,0.0000,0.0000,0.0012,yes
75,6,498,0.0000,0.0000,0.0012,yes
76,6,2204,0.0000,0.0000,0.0012,yes
77,6,503,0.0000,0.0000,0.0012,yes
78,6,578,0.0000,0.0000,0.0011,yes
79,6,1803,0.0000,0.0000,0.0011,yes
80,6,2702,0.0000,0.0000,0.0011,yes
81,6,985,0.0000,0.0000,0.0011,yes
82,6,2177,0.0000,0.0000,0.0011,yes
83,6,2374,0.0000,0.0000,0.0011,yes
84,6,3219,0.0000,0.0000,0.0011,yes
85,6,3928,0.0000,0.0000,0.0011,yes
86,6,453,0.0000,0.0000,0.0011,yes
87,6,960,0.0000,0.0000,0.0010,yes
88,6,476,0.0000,0.0000,0.0010,yes
89,6,3512,0.0000,0.0000,0.0010,yes
90,6,1809,0.0000,0.0000,0.0010,yes
91,6,3999,0.0000,0.0000,0.0010,yes
92,6,1834,0.0000,0.0000,0.0010,yes
93,6,1428,0.0000,0.0000,0.0010,yes
94,6,796,0.0000,0.0000,0.0010,yes
95,6,3238,0.0000,0.0000,0.0010,yes
96,6,3472,0.0000,0.0000,0.0010,yes
97,6,2254,0.0000,0.0000,0.0010,yes
98,6,2683,0.0000,0.0000,0.0009,yes
99,6,486,0.0000,0.0000,0.0009,yes
100,6,3600,0.0000,0.0000,0.0009,yes
101,35,3278,0.0000,0.0000,0.0001,yes
102,35,3509,0.0000,0.0000,0.0001,yes